күндері,кейбіреулеріміздің,үйіміз,темекі,ұрлап,1
.,Әуелде,біз,",",балалар,1
.,Әйелдерге,қосылып,жылауға,«,1
Аян,",",қайдасың,?,!,1
тұрған,сияқты,көрінді,.,Демімізді,1
.,Ұшып,тұрған,Есікбай,тағы,1
тоқтай,қап,:,–,Әй,1
титықтап,шыққан,арық,өгіздердің,аузынан,1
қызық,дүниеге,айналды,.,«,1
–,Ертеде,бір,жетім,бала,2
Аян,үшін,мұнан,ауыр,жаза,1
атып,жібереді,...,Тағы,да,1
өгіздер,мықшиып,тұрып,қалады,.,1
",",тобығыңды,қайта,салғызғандай,қалай,1
толтыра,сорып,алды,да,",",1
Бапайдың,кемпірі,шықты,да,:,1
Маған,шынында,да,ол,теуіп,1
бастадым,.,–,Үйбай,",",1
сығырайтып,тастайды,.,Мұнан,кейін,1
кешегіден,де,қызық,ертегі,айтамын,4
да,тұратын,.,Тек,Бапайдың,1
бауырдан,хат,алудың,қиыны-ай,",",1
қалма,",",–,деп,қояды,1
Бір-екі,рет,мен,де,",",1
асты,сазданып,басқан,сайын,шұрқ-шұрқ,1
сандықта,жатыр,",",апам,кигізбейді,1
жүре,бастады,.,Тобығы,тайған,1
.,Ауылдағы,жұрт,дүркірей,жиналып,1
:,–,Әй,",",анау,1
айтамын,»,",",–,деген,1
О,",",маубас,",",тарта,1
екенсің,ғой,.,Айлы,түнде,1
бастады,.,Тұтасқан,қап-қара,аспан,1
Екеуі,де,осымен,тынады,.,1
өте,алмайды,",",қанаты,күнге,1
талып,",",әлің,кетіп,",",1
.,Түу,",",сен,өзі,1
сағынбауы,мүмкін,емес,қой,.,1
бұ,алжыған,атаңның,сөзін,тыңдама,1
қағазға,топырақ,орап,",",бұрқылдата,1
тостым,.,–,Байғұс,баланың,1
ондай,шана,болушы,ма,еді,1
жаман,",",сұрынан,шошимын,...,1
ғой,.,Аулақ,жүріңдер,әрі,1
еді,.,Бәріміз,жапа-тармағай,ешкі,1
сөз,таластыра,алмайтынбыз,.,Кім,1
қолын,аузымен,кезек-кезек,үрлеп,қойып,1
.,Біз,",",бәріміз,",",1
»,",",–,деп,зәре-құтымыз,1
Қойшы-ей,",",мынау,дөй,ғой-ей,1
араласқан,жас,қабірге,жаутаңдап,біраз,1
бұта-бұтаның,арасынан,сығалап,қарап,тұрдық,1
бар,.,Мен,сүмірейіп,кеп,1
иісі,шығып,тұрады,–,деді,1
сирек,тістерін,көрсете,отырып,",",1
өреміз,жетпейтін,де,",",не,1
",",көзі,қып-қызыл,боп,жасаурап,1
апарып,",",ендігәрі,шықпастай,етіп,1
бала,атаулы,тегіс,көшеге,шығатын,1
де,шәк,келтіргем,жоқ,.,1
қоятын,да,:,–,Енелеріңді,1
.,–,Тура,өлгім-ақ,кеп,1
басын,шайқып,теппей,қойды,:,1
",",не,ішіп,",",не,1
ғана,жылтырап,",",бір-бірімізге,«,1
Мына,жарты,күрешкедей,сүтті,пешке,1
жіңішкелігіндей,қолымен,домбыққан,ісіктерін,сипады,1
ауырып,жатты,.,Осыдан,кейін-ақ,1
қанталап,",",терісіне,сыймай,тырсылдап,1
көлденең,сүйретіп,",",ес,қалмай,1
Қараңғылық,ерте,түскен,.,Біз,1
