қоңыр,сиырыңда,өсімімен,қолыңа,1
шошайған,қоңыр,тау,тұр,1
апам,орнынан,тұрды,.,1
күніне,бір-екі,әріптен,ғана,1
айтамын,",",бүгінге,осымен,1
.,Ертегі,біткен,кезде,1
",",біз,бір,топ,1
етіп,кеттік,.,Және,1
қалғанда,мал,керек,емес,1
түсіп,жер,тепкілеп,жылағың,1
Бірақ,қанша,күшенгенімен,жығуға,1
шешініп,",",төсегіме,жаттым,1
құлаққа,...,Біз,әр,1
кеп,:,-,Тырнағының,1
...,–,деп,ертегісін,1
қойшы-ей,",",Есікбай,",",1
опыр-топыр,болып,шуласып,",",1
келмесе,де,оның,сөзіне,1
.,13,Әркім,іштей,1
Аянның,бетіне,жаға,салды,1
жар,бермейтін,.,Таң,1
қара,топыраққа,Есікбайдың,бетаузын,1
мұғалім,келмеді,.,Осылайша,1
қосылады,.,Үшеуі,де,1
сезгендей,Иманжанов,та,бізге,1
.,Сондайда,оның,алқына,1
жүрсің,?,!,–,1
қорғасынша,сорғалап,ағып,түсердей,1
май,топырақ,тұманша,қалқып,1
Қосым,тырнауық,та,.,1
болып,атып,тұрып,",",1
ұмытып,",",ішекті,түйнеген,1
бір,ұрынатын,жаман,әдеті,1
Иманжанов,та,бізге,тезірек,1
",",құшырланып,.,–,1
жүргеннен,кейін,Есікбай,оның,1
қап,",",шалқасынан,гүрс,1
қарай,оқтана,жүрді,.,1
атысып,ойнады,дегенді,қадай,1
«,Енді,көзіңді,аш,1
",",екі,иінінен,алқына,1
пысқырынып,",",мұндай,рахат,1
.,Өзінің,жауап,қайыра,1
–,деп,қағытып,өтті,1
қос,ауыз,мылтықтан,өзге,1
шегінді,»,десіп,",",1
тастап,",",мені,желкемнен,1
жоғары,қысқа,қара,шалбар,1
бала,еді,.,Кейде,1
берген,.,Аян,оны,1
ала,",",ызғырық,желдің,1
ғана,қайтқан,",",сол,1
бала,қызараңдап,теріс,айналып,1
...,тура,жаздыгүні,Жусандытөбенің,1
алып,",",енді,жайғасып,1
ғой,.,Айлы,түнде,1
Аян,",",қайдасың,?,1
газет,жыртындысы,мен,темекі,1
келгенде,Аян,ылғи,темір,1
–,деп,қойды,ол,1
мен,кешкі,тамақты,ішіп,1
биіктеу,ғып,отырды,.,1
–,деді,.,Осыдан,1
тығып,",",қақалып,қала,1
содан,екі,ай,бұрын,1
–,Салып,берің,қалай-ей,1
ауырып,тұр,",",–,1
қолын,отқа,тығып,жіберіп,1
шана,сүйретіп,сырғанақ,ойнауды,1
19,Анау,пальтоны,әперші,1
әрқайсысының,келуі,ауыл,үшін,1
сиырын,Бапай,шалдың,үйіне,1
жатты,.,–,Үйбай,1
салатын,адам,таба,алмады,1
Үлкендер,«,жау,шегінді,1
Ұшып,тұрған,Есікбай,тағы,1
тұрған,шелек,",",легенді,1
мүмкін,емес,еді,.,1
бірлі-жарым,сөздерді,құрап,",",1
құнын,осы,қаршадай,жетім,1
",",ыстық,шайға,бойы,1
жылқының,кепкен,тезегін,шылым,1
–,деп,өзі,сығырайып,1
келе,жатып,әркімге,бір,1
үйінің,тұсына,жеткенде,",",1
–,Менен,де,...,1
Атың,кім,?,–,1
сүйсіне,таңырқасып,қойдық,.,1
көңілді,",",күлдіргі,ертегілерді,1
",",аяғынан,шалып,",",1
де,жоқ,",",апам,1
салып,берер,еме,.,1
алатын,.,20,Мен,1
қалдық,.,Бір,сәтке,1
еткен,көк,семсер,тұрғанда,1
басқа,балаларға,істейтін,қылығын,1
өтеді,.,Сондықтан,да,1
кеп,қолыңа,беретін,.,1
қорегі,осы,.,Ол,1
шамның,білтесін,онан,әрмен,1
танауынан,бұрқ-бұрқ,еткізіп,шығара,1
рахат,дүние,тапқанымызға,мәз-мейрам,1
күні,сол,да,...,1
жүзі,тершіп,",",маңдайындағы,1
етіп,",",ауылдың,әр,1
",",өзінің,",",жаман,1
Енді,Аян,күш,алды,1
Садық,ауылдың,жоғарғы,жағындағы,1
Менің,ағамда,жусанның,иісі,1
қап,:,–,Әй,1
.,–,Үйбай,",",2
екі,жақтын,тәтті,қорылға,1
",",жүріңдер,",",мен,1
«,ойбай,»,",",1
шағы,–,күннің,ұясына,1
сирақ,темекіні,бұрқырата,сорушы,1
кетті,ме,!,–,1
ақ,жейде,",",тізеден,1
естірте,:,«,Әжесі,1
қараңғы,бұрышта,бір,уыс,1
жерге,бір-ақ,ырғыды,да,1
салып,тым-тырағай,зытуға,дайын,1
кеткелі,жатыр,",",–,1
»,–,деп,ұрсып-ұрсып,1
–,Ағам,келеді,ғой,1
.,Ол,да,үнсіз,1
жатты,.,Қалың,ойда,1
.,Қоңыр,сиыр,үйренген,1
",",әрқайсымыздың,әке-ағаларымыздың,алыста,1
.,Ол,қыпқызыл,боп,1
Садық,та,шанамызды,бергенбіз,1
.,–,Сорлы,жетімнің,1
сатып,ақшасын,қалтаңа,салып,1
бірақ,шикі,дәмі,білініп,1
жатты,.,Аян,болса,1
Садық,:,–,Мен,1
Тайбурылындай,ұшатын,аттар,бар,1
бойынша,",",ауыл,үйлері,1
тереңдесе,бөкпе,топырақ,қалыңдап,1
көрші,",",тәтті,",",1
:,–,Енелеріңді,ұрайын,1
Осы,кезде,үйлерінен,арба,1
",",қараңғыда,теңселгендей,боп,1
біз,суға,түсіп,",",1
",",сиқырлы,дүниеге,айналып,1
төбелескенде,ылғи,баж,етіп,1
–,деді,ілулі,тұрған,1
көк,тақтайлы,шанамды,нұсқап,1
қара,парға,бұрқ,еткен,1
деген,.,Бәріміз,сол,1
бар,ма,?,Тағы,1
қалдық,.,–,Анау,1
еріп,",",кешке,қарай,1
.,Түкпірге,де,жеттім,1
де,әлдеқайда,қызық,сияқты,1
әлдеқайда,қызықты,еді,.,1
",",сондықтан,елдің,шана,1
бұрышта,бір,уыс,боп,1
сұрап,үнемі,сөйлетумен,болды,1
жұмарлап,",",басқамыздан,орнын,1
Бапай,шалдың,үйіне,дейін,1
қасиеті,–,ешкіммен,төбелсіп,1
да,",",онан,соң,1
со,тұнжыраған,қалпында,бәріміздің,1
ақыл,айтпақ,едім,оған,1
...,Мен,білдім,",",1
деп,айқайлады,.,Маған,1
Тез,іліп,қой,",",1
жетеді,.,Онда,да,1
алады,да,",",менің,1
мысық,?,–,деп,1
бұл,сөздің,мағынасын,сұрап,1
Бермеймін,со,...,–,1
шек,жоқ,еді,.,1
–,Жүр,",",жолдас,1
ол,күнде,кешкісін,бізге,1
деді,Қосым,.,–,1
түйе,тоқай,ала,бастады,1
өз,топтарына,алудан,бас,1
солай,қарай,жалтақтадық,.,1
әріптерін,айна-қатесіз,қағазға,түсіріп,1
ұясына,қонуы,.,Күн,1
Мен,беріп,жүрмін,",",1
көкпеңбек,боп,бозарып,",",1
",",онан,соң,шынысын,1
Сондықтан,Аянға,кеп,:,1
бойжеткен,қыз,қосылады,.,1
арбаға,көзім,түсті,.,1
де,әбден,титықтайтынбыз,.,1
далбақтап,жүгіріп,келе,жатқан,1
оның,ертегісі,түннің,жарымында,1
не,жегенімізді,ажыратпастан,",",1
.,Адамды,іш,тартып,1
.,Үш-төрт,күн,өткен,1
1,Алыста,қалған,балалық,1
өзіне,де,обал,жоқ,1
?,–,Аян,.,1
бір,түнде,бір,ертегіден,1
сілтеуге,әліміз,құрып,",",1
.,–,Атың,кім,1
–,Сынып,тұр,.,1
келмей,тартыншақтай,бастаған,",",1
жөнелдік,.,Балалардың,ең,1
",",бақырып,үйіне,кетті,1
таба,алмады,.,–,1
Ай,жарығында,анық,көрінді,1
тағдырына,байланысты,үрейлі,ертегіні,1
өрістен,мал,қайырып,келе,1
Сендер,жақ,ыстық,екен,1
күйіп,қалады,.,Тек,1
Аян,сирек,тістерін,көрсете,1
білініп,тұрғандықтан,жұта,алмай,1
